"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Tue Jun 17 18:23:13 EDT 2025","Tue Jun 17 18:23:13 EDT 2025","0","API Regression Master Test Suite","Go Rest API Test - Create User","com.qa.api.gorest.tests.CreateUserTest","com.qa.api.gorest.tests.CreateUserTest","createAUserTestWithJsonfile","createAUserTestWithJsonfile",""
"passed","Tue Jun 17 18:23:18 EDT 2025","Tue Jun 17 18:23:19 EDT 2025","967","API Regression Master Test Suite","Go Rest API Test - Create User","com.qa.api.gorest.tests.CreateUserTest","com.qa.api.gorest.tests.CreateUserTest","createAUserWithDataProviderTest","createAUserWithDataProviderTest",""
"passed","Tue Jun 17 18:23:12 EDT 2025","Tue Jun 17 18:23:13 EDT 2025","978","API Regression Master Test Suite","Go Rest API Test - Get User","com.qa.api.gorest.tests.GetUserTest","com.qa.api.gorest.tests.GetUserTest","getAllUsersWithQueryParamTest","getAllUsersWithQueryParamTest","Getting all the users with Query Params"
"passed","Tue Jun 17 18:23:20 EDT 2025","Tue Jun 17 18:23:23 EDT 2025","2827","API Regression Master Test Suite","Go Rest API Test - Update User","com.qa.api.gorest.tests.UpdateUserTest","com.qa.api.gorest.tests.UpdateUserTest","updateAUserTest","updateAUserTest",""
"passed","Tue Jun 17 18:23:27 EDT 2025","Tue Jun 17 18:23:27 EDT 2025","337","API Regression Master Test Suite","Product API Test - Get Product With Json Path","com.qa.api.products.tests.ProductAPIWithJsonPathTest","com.qa.api.products.tests.ProductAPIWithJsonPathTest","getProductTest","getProductTest",""
"passed","Tue Jun 17 18:23:17 EDT 2025","Tue Jun 17 18:23:18 EDT 2025","971","API Regression Master Test Suite","Go Rest API Test - Create User","com.qa.api.gorest.tests.CreateUserTest","com.qa.api.gorest.tests.CreateUserTest","createAUserWithDataProviderTest","createAUserWithDataProviderTest",""
"passed","Tue Jun 17 18:23:19 EDT 2025","Tue Jun 17 18:23:20 EDT 2025","983","API Regression Master Test Suite","Go Rest API Test - Create User","com.qa.api.gorest.tests.CreateUserTest","com.qa.api.gorest.tests.CreateUserTest","createAUserWithPOJOTest","createAUserWithPOJOTest",""
"passed","Tue Jun 17 18:23:29 EDT 2025","Tue Jun 17 18:23:29 EDT 2025","742","API Regression Master Test Suite","Basic Auth API Test","com.qa.api.basicauth.tests.BasicAuthTest","com.qa.api.basicauth.tests.BasicAuthTest","basicAuthTest","basicAuthTest",""
"passed","Tue Jun 17 18:23:19 EDT 2025","Tue Jun 17 18:23:19 EDT 2025","498","API Regression Master Test Suite","Go Rest API Test - Create User","com.qa.api.gorest.tests.CreateUserTest","com.qa.api.gorest.tests.CreateUserTest","createAUserWithDataProviderTest","createAUserWithDataProviderTest",""
"passed","Tue Jun 17 18:23:26 EDT 2025","Tue Jun 17 18:23:27 EDT 2025","718","API Regression Master Test Suite","Product API Test - Get Product","com.qa.api.products.tests.ProductAPITest","com.qa.api.products.tests.ProductAPITest","getProductsTest","getProductsTest",""
"unknown","Tue Jun 17 18:23:10 EDT 2025","Tue Jun 17 18:23:10 EDT 2025","1","API Regression Master Test Suite","Go Rest API Test - Get User","com.qa.api.gorest.tests.GetUserTest","com.qa.api.gorest.tests.GetUserTest","getSingleUserTest","getSingleUserTest",""
"passed","Tue Jun 17 18:23:16 EDT 2025","Tue Jun 17 18:23:17 EDT 2025","1006","API Regression Master Test Suite","Go Rest API Test - Create User","com.qa.api.gorest.tests.CreateUserTest","com.qa.api.gorest.tests.CreateUserTest","createAUserWithDataProviderTest","createAUserWithDataProviderTest",""
"passed","Tue Jun 17 18:23:04 EDT 2025","Tue Jun 17 18:23:04 EDT 2025","164","API Sanity Test Suite","Req Res Test","com.qa.api.reqres.tests.ReqResTest","com.qa.api.reqres.tests.ReqResTest","getUserTest","getUserTest",""
"passed","Tue Jun 17 18:23:10 EDT 2025","Tue Jun 17 18:23:12 EDT 2025","1889","API Regression Master Test Suite","Go Rest API Test - Get User","com.qa.api.gorest.tests.GetUserTest","com.qa.api.gorest.tests.GetUserTest","getAllUsersTest","getAllUsersTest","Getting all the users"
